"","points","points_last","avg_age","club_transfer_ratio","manager_change","star_players","played_internationally","squad_size","foreigners","promotion"
"1",71,75,23.7,0.529436769394261,0,0,0,41,0.707317073170732,0
"2",75,79,23,2.79944636678201,0,0,1,42,0.69047619047619,0
"3",79,73,23.8,1.53417628733736,0,0,1,37,0.810810810810811,0
"4",73,70,23.8,1.85719859539602,0,0,1,36,0.805555555555556,0
"5",70,68,23.3,3.20287769784173,0,0,1,44,0.75,0
"6",68,75,23.4,1.11554921540656,0,0,1,34,0.794117647058823,0
"7",75,72,21.7,0.575620767494357,0,0,1,45,0.688888888888889,0
"8",72,83,21.3,1.36793587174349,0,0,1,38,0.789473684210526,0
"9",83,68,22.3,0.740039008080245,0,0,1,32,0.875,0
"10",68,67,22.8,0.838244924688933,0,0,1,35,0.857142857142857,0
"11",67,83,23.3,2.85401459854015,0,0,1,33,0.848484848484849,0
"12",83,90,22.9,0.972818311874106,0,1,1,32,0.875,0
"13",90,78,23.7,2.81950087057458,0,1,1,32,0.71875,0
"14",78,87,25.2,0.944099378881988,0,0,1,31,0.67741935483871,0
"15",87,70,25.9,1.23192904656319,0,0,1,27,0.555555555555556,0
"16",70,73,25.3,2.8294413242684,0,0,1,33,0.666666666666667,0
"17",73,78,25,2.10958904109589,0,0,1,33,0.545454545454545,0
"18",78,78,23.6,1.61503301168106,0,0,1,36,0.527777777777778,0
"19",78,68,25.2,1.97260273972603,0,0,1,30,0.433333333333333,0
"20",68,63,26.2,0.928443649373882,1,0,1,32,0.3125,0
"21",63,51,25.8,1.87951807228916,1,0,0,30,0.266666666666667,0
"22",51,71,25.3,1.18561710398445,1,0,0,32,0.28125,0
"23",71,56,25.5,0.538653366583541,0,0,0,26,0.269230769230769,0
"24",56,0,24.3,1.76923076923077,0,0,0,31,0.258064516129032,0
"25",17,38,23.5,1.20042507970244,1,0,0,44,0.5,0
"26",38,38,24.3,0.316401384083045,1,0,0,38,0.5,0
"27",38,41,24,0.609492395088877,0,0,0,34,0.558823529411765,0
"28",41,38,24.1,0.923136948888022,1,0,0,31,0.612903225806452,0
"29",38,48,25.3,0.994532374100719,1,0,0,34,0.617647058823529,0
"30",48,64,25.1,1.81398002853067,1,0,1,39,0.512820512820513,0
"31",64,62,25.5,2.25,0,0,1,31,0.419354838709677,0
"32",62,60,25.4,1.90460921843687,0,0,1,21,0.380952380952381,0
"33",60,50,24.3,0.58985789913625,0,0,0,24,0.416666666666667,0
"34",50,42,24.8,1.37524557956778,1,0,0,31,0.580645161290323,0
"35",42,47,24,1.02627737226277,0,0,0,29,0.551724137931034,0
"36",47,56,23.8,0.716261325703386,0,0,0,26,0.615384615384615,0
"37",56,45,25.1,0.826465467208358,1,0,0,27,0.62962962962963,0
"38",45,50,25.3,0.798136645962733,0,0,0,29,0.620689655172414,0
"39",50,54,25.9,0.984035476718404,1,0,1,25,0.56,0
"40",54,58,25,1.17587939698492,0,0,0,28,0.428571428571429,0
"41",58,55,24,0.894246575342466,0,0,0,32,0.34375,0
"42",55,57,23.5,3.63026917216861,0,0,1,34,0.294117647058824,0
"43",57,61,23.4,0,1,0,1,28,0.357142857142857,0
"44",61,63,23.8,2.82826475849732,0,0,1,26,0.423076923076923,0
"45",63,48,23.8,1.13253012048193,0,0,0,25,0.32,0
"46",48,57,25.7,1.2108843537415,0,0,1,29,0.275862068965517,0
"47",57,74,25.1,1.80049875311721,1,0,1,27,0.37037037037037,0
"48",74,0,24.4,1.09502262443439,0,0,0,27,0.333333333333333,0
"49",35,0,26.2,0.581664910432034,0,0,0,27,0.444444444444444,1
"50",39,50,25.8,1.2416547788873,0,0,0,34,0.529411764705882,0
"51",50,0,25.5,0.961625282167043,0,0,0,36,0.5,1
"52",35,0,24.1,0.695179715798273,0,0,0,26,0.615384615384615,1
"53",34,45,25.5,0.502919708029197,0,0,0,33,0.515151515151515,0
"54",45,50,25.1,1.27801621363853,0,0,0,37,0.567567567567568,0
"55",50,48,26.5,1.63784097504353,0,0,0,27,0.592592592592593,0
